Ammunition;Name;TypeCategoryName;Caliber;TraitsToken;Level;Arme;Puissance;ShotsBeforeMaxNoise;NbTirParSalves;TempsEntreDeuxTirs;TempsEntreDeuxSalves;PorteeMaximale;PorteeMinimale;PorteeMaximaleTBA;PorteeMinimaleTBA;PorteeMaximaleHA;PorteeMinimaleHA;AltitudeAPorteeMaximale;AltitudeAPorteeMinimale;AffecteParNombre;AngleDispersion;DispersionAtMaxRange;DispersionAtMinRange;RadiusSplashPhysicalDamages;PhysicalDamages;RadiusSplashSuppressDamages;SuppressDamages;RayonPinned;AllowSuppressDamageWhenNoImpact;TirIndirect;TirReflexe;InterdireTirReflexe;NoiseDissimulationMalus;BaseCriticModifier;EBaseHitValueModifier_Idling;EBaseHitValueModifier_Moving;MaxSuccessiveHitCount;TempsDeVisee;SupplyCost;CanShootOnPosition;CanShootWhileMoving;NbrProjectilesSimultanes;MissileDescriptor;SmokeDescriptor;FireDescriptor;CanHarmInfantry;CanHarmVehicles;CanHarmHelicopters;CanHarmAirplanes;CanHarmGuidedMissiles;IsHarmlessForAllies;PiercingWeapon;DamageTypeEvolutionOverRangeDescriptor;FlightTimeForSpeed;DistanceForSpeed
"Ammo_AGL_Mk19_40mm_Twin";"LSHCZPRPRM";"DOXFRWXQZK";"GYSDYEGSXZ";"['MOTION', 'HE']";3;" TDamageTypeRTTI(Family='he' Index=1)";100.0;1;5;0.4;3.0;1414.8409893992934;35.3356890459364;0.0;0.0;0.0;0.0;14.13427561837456;7.06713780918728;0;0.0;70.6713780918728;17.6678445229682;7.06713780918728;0.48;14.13427561837456;26.0;141.3427561837456;1;1;1;0;2.0;25;3;1;;3.0;200;1;1;1;;;"Descriptor_Fire_Incendie";1;1;1;1;1;0;0;;2.31;1236.7491166077739
"Ammo_Arty_Off_Map_Precis_Rapide";"ProtoSW1";"OFFMAPART";"155mm";;3;" TDamageTypeRTTI(Family='artillerie' Index=1)";200.0;1;9;1.0;1.0;106007.0671378092;8480.565371024735;0.0;0.0;0.0;0.0;353.00353356890463;353.00353356890463;0;0.0;706.7137809187279;706.7137809187279;97.87985865724382;7.75;293.9929328621908;398.0;212.01413427561837;0;1;0;0;1.0;0;0.0;0.0;;0.0;;1;1;1;;;"Descriptor_Fire_Incendie";1;1;1;1;1;0;0;;7.29931503636;
"Ammo_Arty_Off_Map_Precis_Soutenu";"ProtoSW2";"OFFMAPART";"155mm";;3;" TDamageTypeRTTI(Family='artillerie' Index=1)";200.0;1;24;1.0;1.0;106007.0671378092;8480.565371024735;0.0;0.0;0.0;0.0;353.00353356890463;353.00353356890463;0;0.0;706.7137809187279;706.7137809187279;97.87985865724382;7.75;293.9929328621908;398.0;212.01413427561837;0;1;0;0;1.0;0;0.0;0.0;;0.0;;1;1;1;;;"Descriptor_Fire_Incendie";1;1;1;1;1;0;0;;7.29931503636;
"Ammo_Arty_Off_Map_Zone_Rapide";"ProtoSW3";"OFFMAPART";"155mm";;3;" TDamageTypeRTTI(Family='artillerie' Index=1)";200.0;1;9;1.0;1.0;106004.94699646643;0.0;0.0;0.0;0.0;0.0;353.00353356890463;353.00353356890463;0;0.0;706.7137809187279;706.7137809187279;97.87985865724382;7.75;293.9929328621908;398.0;212.01413427561837;0;1;0;0;1.0;0;0.0;0.0;;0.0;;1;1;1;;;"Descriptor_Fire_Incendie";1;1;1;1;1;0;0;;7.29931503636;
"Ammo_Arty_Off_Map_Zone_Soutenu";"ProtoSW4";"OFFMAPART";"155mm";;3;" TDamageTypeRTTI(Family='artillerie' Index=1)";200.0;1;24;1.0;1.0;106007.0671378092;8480.565371024735;0.0;0.0;0.0;0.0;353.00353356890463;353.00353356890463;0;0.0;706.7137809187279;706.7137809187279;97.87985865724382;7.75;293.9929328621908;398.0;212.01413427561837;0;1;0;0;1.0;0;0.0;0.0;;0.0;;1;1;1;;;"Descriptor_Fire_Incendie";1;1;1;1;1;0;0;;7.29931503636;
"Ammo_AutoCanon_AP_20mm_M621_GIAT";"LBBIKKBUZY";"YSSCMQVTWR";"POFVHOKSLG";"['MOTION', 'HE', 'KINETIC']";3;" TDamageTypeRTTI(Family='ap' Index=11)";100.0;5;10;0.2;2.0;1590.1060070671379;35.3356890459364;0.0;0.0;0.0;0.0;14.13427561837456;7.06713780918728;0;0.0;8.8339222614841;;0.35335689045936397;1.0;0.35335689045936397;1.0;141.3427561837456;0;0;1;0;2.0;0;5;2;;0.5;110;1;1;1;;;;1;1;1;1;1;0;1;"DamageTypeEvolutionOverRangeDescriptor_AP1_1Km";1.4;1766.7844522968198
"Ammo_AutoCanon_AP_20mm_MK_20_Rh_202";"KXQSLZFLTG";"YSSCMQVTWR";"IWCZHRMAXY";"['MOTION', 'HE', 'KINETIC']";3;" TDamageTypeRTTI(Family='ap' Index=11)";100.0;5;10;0.2;2.0;1590.1060070671379;35.3356890459364;0.0;0.0;0.0;0.0;24.73498233215548;12.36749116607774;0;0.0;8.8339222614841;;0.35335689045936397;1.0;0.35335689045936397;1.0;141.3427561837456;0;0;1;0;2.0;0;7;3;;0.5;110;1;1;1;;;;1;1;1;1;1;0;1;"DamageTypeEvolutionOverRangeDescriptor_AP1_1Km";1.4;1766.7844522968198
"Ammo_AutoCanon_AP_23mm_Bitube_Gsh23L";"PBHLRGBIDM";"YSSCMQVTWR";"LAWEJTRDZZ";"['MOTION', 'HE', 'KINETIC']";3;" TDamageTypeRTTI(Family='ap' Index=7)";100.0;5;10;0.2;2.0;1060.070671378092;17.6678445229682;0.0;0.0;0.0;0.0;21.20141342756184;10.60070671378092;0;0.0;8.8339222614841;;0.35335689045936397;1.0;0.35335689045936397;1.0;141.3427561837456;0;0;1;0;2.0;0;4;1;;0.5;70;1;1;1;;;;1;1;1;1;1;0;1;"DamageTypeEvolutionOverRangeDescriptor_AP1_1Km";1.4;1766.7844522968198
"Ammo_AutoCanon_AP_25mm_M242_Bushmaster_Late";"SHBINZZBDX";"YSSCMQVTWR";"LFIMXZULSR";"['MOTION', 'HE', 'KINETIC']";3;" TDamageTypeRTTI(Family='ap' Index=13)";100.0;5;10;0.3;4.0;1765.017667844523;35.3356890459364;0.0;0.0;0.0;0.0;14.13427561837456;7.06713780918728;0;0.0;8.8339222614841;;0.35335689045936397;1.0;0.35335689045936397;1.0;141.3427561837456;0;0;1;0;2.0;0;9;4;;0.5;130;1;1;1;;;;1;1;1;1;1;0;1;"DamageTypeEvolutionOverRangeDescriptor_AP1_1Km";1.6;1766.7844522968198
"Ammo_AutoCanon_AP_30mm_24A2";"UCSQRNUMQQ";"YSSCMQVTWR";"DYDXERZARY";"['MOTION', 'HE', 'KINETIC']";3;" TDamageTypeRTTI(Family='ap' Index=12)";100.0;5;10;0.3;4.0;1590.1060070671379;35.3356890459364;0.0;0.0;0.0;0.0;14.13427561837456;7.06713780918728;0;0.0;8.8339222614841;;0.35335689045936397;1.0;0.35335689045936397;1.0;141.3427561837456;0;0;1;0;2.0;0;9;8;;0.5;120;1;1;1;;;;1;1;1;1;1;0;1;"DamageTypeEvolutionOverRangeDescriptor_AP1_1Km";1.6;1766.7844522968198
"Ammo_AutoCanon_AP_30mm_24A2_BMP2";"YCABTWYEMX";"YSSCMQVTWR";"DYDXERZARY";"['MOTION', 'HE', 'KINETIC']";3;" TDamageTypeRTTI(Family='ap' Index=11)";100.0;5;10;0.3;4.0;1590.1060070671379;35.3356890459364;0.0;0.0;0.0;0.0;14.13427561837456;7.06713780918728;0;0.0;8.8339222614841;;0.35335689045936397;1.0;0.35335689045936397;1.0;141.3427561837456;0;0;1;0;2.0;0;5;2;;0.5;110;1;1;1;;;;1;1;1;1;1;0;1;"DamageTypeEvolutionOverRangeDescriptor_AP1_1Km";1.6;1766.7844522968198
