UniteDescriptor;ClassNameForDebug;Nationalite;MotherCountry;UnitConcealmentBonus;ArmorDescriptorFront;ArmorDescriptorSides;ArmorDescriptorRear;ArmorDescriptorTop;MaxDamages;HitRollECM;Dangerousness;NbSoldatInGroupeCombat;MaxSpeed;RoadSpeed;SpeedBonusOnRoad;MaxAcceleration;MaxDeceleration;TempsDemiTour;FuelCapacity;FuelMoveDuration;Autonomy;OpticalStrength;OpticalStrengthAltitude;IdentifyBaseProbability;TimeBetweenEachIdentifyRoll;ProductionYear;IsTransporter;IsPlane;UnitAttackValue;UnitDefenseValue;EvacuationTime;TravelDuration;RoleList;SpecialtiesList;Factory;Resource_CommandPoints;RevealInfluence;UpgradeFromUnit;SupplyCapacity;UnlockableOrders;WeaponDescriptor;DeploymentShift;Altitude;AltitudeMax;AltitudeMin;AltitudeMinForRoll;MinRollSpeedForRoll;Speed;AgilityRadius;PitchAngle;RollAngle;PitchSpeed;RollSpeed;UpwardSpeed;TorqueManoeuvrability;CyclicManoeuvrability;MaxInclination;GFactorLimit;RotorArea
"Descriptor_Unit_2K12_KUB_DDR";"Unit_2K12_KUB_DDR";"Axis";"DDR";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;39.0;;40.5;;1.4444444444444446;22.5;45.0;7.0;850;500.0;;60;250;0.2;10.0;1989;0;0;1;3;;;"tank_C";"['AA']";"AT";90;0;;;"Descriptor_OrderAvailability_2K12_KUB_DDR";"WeaponDescriptor_2K12_KUB_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2K12_KUB_SOV";"Unit_2K12_KUB_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;39.0;;40.5;;1.4444444444444446;22.5;45.0;7.0;850;500.0;;60;250;0.2;10.0;1989;0;0;1;3;;;"tank_C";"['AA']";"AT";90;0;;;"Descriptor_OrderAvailability_2K12_KUB_SOV";"WeaponDescriptor_2K12_KUB_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S1_DDR";"Unit_2S1_DDR";"Axis";"DDR";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;35.04666666666667;;54.0;;0.8333333333333333;22.5;45.0;7.0;550;500.0;;40;10;0.13;15.0;1981;0;0;3;1;;;"tank_C";"['howitzer']";"Support";100;0;;;"Descriptor_OrderAvailability_2S1_DDR";"WeaponDescriptor_2S1_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S1_Gvozdika_SOV";"Unit_2S1_Gvozdika_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;35.04666666666667;;54.0;;0.8333333333333333;22.5;45.0;7.0;550;500.0;;40;10;0.13;15.0;1981;0;0;3;1;;;"tank_C";"['howitzer']";"Support";100;0;;;"Descriptor_OrderAvailability_2S1_Gvozdika_SOV";"WeaponDescriptor_2S1_Gvozdika_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S3M_Akatsiya_SOV";"Unit_2S3M_Akatsiya_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;77.05666666666666;;45.0;;1.2000000000000002;18.0;45.0;8.0;800;500.0;;40;10;0.13;15.0;1981;0;0;4;1;;;"tank_B";"['howitzer']";"Support";150;0;"Descriptor_Unit_2S1_Gvozdika_SOV";;"Descriptor_OrderAvailability_2S3M_Akatsiya_SOV";"WeaponDescriptor_2S3M_Akatsiya_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S3_DDR";"Unit_2S3_DDR";"Axis";"DDR";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;52.05666666666667;;45.0;;1.0;18.0;45.0;8.0;800;500.0;;40;10;0.13;15.0;1981;0;0;4;1;;;"tank_B";"['howitzer']";"Support";150;0;"Descriptor_Unit_2S1_DDR";;"Descriptor_OrderAvailability_2S3_DDR";"WeaponDescriptor_2S3_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_81mm_mortar_UK";"Unit_81mm_mortar_UK";"Axis";"UK";2.5;"ArmorDescriptor_Blindage_40";"ArmorDescriptor_Blindage_40";"ArmorDescriptor_Blindage_40";"ArmorDescriptor_Blindage_40";10.0;0.0;10.0;;72.0;;0.875;33.75;69.75;4.0;;;;80;40;0.26;8.0;1987;0;0;5;5;;;"tank_A";"['AA']";"AT";20;0;;;"Descriptor_OrderAvailability_81mm_mortar_UK";"WeaponDescriptor_81mm_mortar_UK";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Fagot_DDR";"Unit_ATteam_Fagot_DDR";"Axis";"DDR";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;18.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;3;3;;;"tank_C";"['AT']";"Infantry";40;0;;;"Descriptor_OrderAvailability_ATteam_Fagot_DDR";"WeaponDescriptor_ATteam_Fagot_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Fagot_FJ_DDR";"Unit_ATteam_Fagot_FJ_DDR";"Axis";"DDR";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;18.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;3;3;;;"tank_C";"['AT']";"Infantry";45;0;"Descriptor_Unit_ATteam_Fagot_DDR";;"Descriptor_OrderAvailability_ATteam_Fagot_FJ_DDR";"WeaponDescriptor_ATteam_Fagot_FJ_DDR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Fagot_SOV";"Unit_ATteam_Fagot_SOV";"Axis";"SOV";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;18.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;3;3;;;"tank_C";"['AT']";"Infantry";40;0;;;"Descriptor_OrderAvailability_ATteam_Fagot_SOV";"WeaponDescriptor_ATteam_Fagot_SOV";;;;;;;;;;;;;;;;;;
