DeckDescriptor;DivisionName;DivisionTags;AvailableForPlay;MaxActivationPoints;CountryId;UnitDescriptor;AvailableWithoutTransport;AvailableTransportList;MaxPackNumber;NumberOfUnitInPack_Poor;NumberOfUnitInPack_Trained;NumberOfUnitInPack_Veteran;NumberOfUnitInPack_Elite
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_10_HOT_FR";1;;2;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_10_PC_CMD_FR";1;;1;0;3;2;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_10_P_VOA_FR";1;;1;0;8;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_10_RCR_FR";1;;1;0;3;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_10_RC_FR";1;;1;0;4;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_13_DCA_FR";1;;2;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_30_AuF1_FR";1;;2;0;2;1;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_30_B2_Brennus_FR";1;;1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_30_B2_CMD_FR";1;;2;0;0;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_30_B2_FR";1;;4;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_30_B_FR";1;;1;0;12;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_AMX_30_EBG_FR";1;;1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_ATteam_Milan_1_FR";0;"['Descriptor_Unit_AMX_10_P_MILAN_FR', 'Descriptor_Unit_VAB_MILAN_FR', 'Descriptor_Unit_VLTT_P4_FR']";1;0;8;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_ATteam_Milan_2_FR";0;"['Descriptor_Unit_AMX_10_P_MILAN_FR', 'Descriptor_Unit_VAB_MILAN_FR', 'Descriptor_Unit_VLTT_P4_FR']";1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Alouette_III_reco_FR";1;;1;0;0;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Chasseurs_CMD_FR";0;"['Descriptor_Unit_AMX_10_P_FR', 'Descriptor_Unit_TRM_2000_FR']";2;0;3;2;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Chasseurs_FR";0;"['Descriptor_Unit_AMX_10_P_FR', 'Descriptor_Unit_TRM_2000_FR']";3;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Commandos_FR";0;"['Descriptor_Unit_Super_Puma_FR', 'Descriptor_Unit_TRM_2000_FR']";1;0;0;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Escorte_FR";0;"['Descriptor_Unit_AMX_10_P_FR', 'Descriptor_Unit_TRM_2000_FR']";1;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Gazelle_HOT_2_FR";1;;2;0;4;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Gazelle_HOT_FR";1;;1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Gendarmerie_FR";0;"['Descriptor_Unit_VLTT_P4_FR']";1;0;12;8;4
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Groupe_AT_FR";0;"['Descriptor_Unit_TRM_2000_FR', 'Descriptor_Unit_VAB_FR', 'Descriptor_Unit_VAB_MILAN_FR', 'Descriptor_Unit_VAB_T20_FR']";1;0;6;4;2
