UniteDescriptor;ClassNameForDebug;Nationalite;MotherCountry;UnitConcealmentBonus;ArmorDescriptorFront;ArmorDescriptorSides;ArmorDescriptorRear;ArmorDescriptorTop;MaxDamages;HitRollECM;NbSoldatInGroupeCombat;MaxSpeed;RoadSpeed;SpeedBonusOnRoad;MaxAcceleration;MaxDeceleration;TempsDemiTour;FuelCapacity;FuelMoveDuration;Autonomy;OpticalStrength;OpticalStrengthAltitude;IdentifyBaseProbability;TimeBetweenEachIdentifyRoll;TransportedSoldier;IsTowable;ProductionYear;UnitAttackValue;UnitDefenseValue;EvacuationTime;TravelDuration;RoleList;SpecialtiesList;Factory;Resource_CommandPoints;Resource_Tickets;RevealInfluence;UpgradeFromUnit;SupplyCapacity;UnlockableOrders;WeaponDescriptor;DeploymentShift;Altitude;AltitudeMax;AltitudeMin;AltitudeMinForRoll;MinRollSpeedForRoll;Speed;AgilityRadius;PitchAngle;RollAngle;PitchSpeed;RollSpeed;UpwardSpeed;TorqueManoeuvrability;CyclicManoeuvrability;MaxInclination;GFactorLimit;RotorArea
"Descriptor_Unit_2K12_KUB_DDR";"Unit_2K12_KUB_DDR";"ENationaliteAxis";"DDR";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;40.5;;1.4444444444444446;22.5;45.0;7.0;850;500.0;;63.675;250;0.2;10.0;"2K12_KUB_DDR";0;1989;1;1;;;"tank_C";"['AA']";"EDefaultFactoriesAT";80;4;0;;;"Descriptor_OrderAvailability_2K12_KUB_DDR";"WeaponDescriptor_2K12_KUB_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2K12_KUB_SOV";"Unit_2K12_KUB_SOV";"ENationaliteAxis";"SOV";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;40.5;;1.4444444444444446;22.5;45.0;7.0;850;500.0;;63.675;250;0.2;10.0;"2K12_KUB_SOV";0;1989;1;1;;;"tank_C";"['AA']";"EDefaultFactoriesAT";80;4;0;;;"Descriptor_OrderAvailability_2K12_KUB_SOV";"WeaponDescriptor_2K12_KUB_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S1_DDR";"Unit_2S1_DDR";"ENationaliteAxis";"DDR";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;54.0;;0.8333333333333333;22.5;45.0;7.0;550;500.0;;42.45;10;0.13;15.0;"2S1_DDR";0;1981;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";150;4;0;;;"Descriptor_OrderAvailability_2S1_DDR";"WeaponDescriptor_2S1_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S1_Gvozdika_SOV";"Unit_2S1_Gvozdika_SOV";"ENationaliteAxis";"SOV";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;54.0;;0.8333333333333333;22.5;45.0;7.0;550;500.0;;42.45;10;0.13;15.0;"2S1_Gvozdika_SOV";0;1981;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";150;4;0;;;"Descriptor_OrderAvailability_2S1_Gvozdika_SOV";"WeaponDescriptor_2S1_Gvozdika_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S3M_Akatsiya_SOV";"Unit_2S3M_Akatsiya_SOV";"ENationaliteAxis";"SOV";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;45.0;;1.2000000000000002;18.0;45.0;8.0;800;500.0;;42.45;10;0.13;15.0;"2S3M_Akatsiya_SOV";0;1981;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";180;4;0;"Descriptor_Unit_2S1_Gvozdika_SOV";;"Descriptor_OrderAvailability_2S3M_Akatsiya_SOV";"WeaponDescriptor_2S3M_Akatsiya_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S3_DDR";"Unit_2S3_DDR";"ENationaliteAxis";"DDR";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;45.0;;1.0;18.0;45.0;8.0;800;500.0;;42.45;10;0.13;15.0;"2S3_DDR";0;1981;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";180;4;0;"Descriptor_Unit_2S1_DDR";;"Descriptor_OrderAvailability_2S3_DDR";"WeaponDescriptor_2S3_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S5_GiatsintS_SOV";"Unit_2S5_GiatsintS_SOV";"ENationaliteAxis";"SOV";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;54.0;;0.8333333333333333;22.5;45.0;7.0;550;500.0;;42.45;10;0.13;15.0;"2S5_GiatsintS_SOV";0;1981;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";110;4;0;;;"Descriptor_OrderAvailability_2S5_GiatsintS_SOV";"WeaponDescriptor_2S5_GiatsintS_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S7M_Malka_SOV";"Unit_2S7M_Malka_SOV";"ENationaliteAxis";"SOV";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;;45.0;;1.2000000000000002;18.0;45.0;8.0;2000;500.0;;42.45;10;0.13;15.0;"2S7M_Malka_SOV";0;1981;60;60;;;"tank_A";"['howitzer']";"EDefaultFactoriesSupport";270;4;0;"Descriptor_Unit_2S3M_Akatsiya_SOV";;"Descriptor_OrderAvailability_2S7M_Malka_SOV";"WeaponDescriptor_2S7M_Malka_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_2S9_Nona_SOV";"Unit_2S9_Nona_SOV";"ENationaliteAxis";"SOV";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;54.0;;0.8333333333333333;22.5;45.0;7.0;550;500.0;;42.45;10;0.13;15.0;"2S9_Nona_SOV";0;1981;60;60;;;"tank_A";"['mortar']";"EDefaultFactoriesSupport";85;2;0;"Descriptor_Unit_MTLB_Vasilek_SOV";;"Descriptor_OrderAvailability_2S9_Nona_SOV";"WeaponDescriptor_2S9_Nona_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_81mm_mortar_UK";"Unit_81mm_mortar_UK";"ENationaliteAllied";"UK";1.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"81mm_mortar_UK";0;1987;60;60;;;"tank_D";"['mortar']";"EDefaultFactoriesSupport";15;2;0;;;"Descriptor_OrderAvailability_81mm_mortar_UK";"WeaponDescriptor_81mm_mortar_UK";;;;;;;;;;;;;;;;;;
