WeaponDescriptor;Salves;HasMainSalvo;SalvoIsMainSalvo;Turret_1_AngleRotationMax;Turret_1_AngleRotationMaxPitch;Turret_1_AngleRotationMinPitch;Turret_1_VitesseRotation;Turret_1_Weapon_1_Ammunition;Turret_1_Weapon_1_NbWeapons;Turret_1_Weapon_1_SalvoStockIndex;Turret_1_Weapon_2_Ammunition;Turret_1_Weapon_2_NbWeapons;Turret_1_Weapon_2_SalvoStockIndex;Turret_1_Weapon_3_Ammunition;Turret_1_Weapon_3_NbWeapons;Turret_1_Weapon_3_SalvoStockIndex;Turret_2_AngleRotationMax;Turret_2_AngleRotationMaxPitch;Turret_2_AngleRotationMinPitch;Turret_2_VitesseRotation;Turret_2_Weapon_1_Ammunition;Turret_2_Weapon_1_NbWeapons;Turret_2_Weapon_1_SalvoStockIndex;Turret_3_AngleRotationMax;Turret_3_AngleRotationMaxPitch;Turret_3_AngleRotationMinPitch;Turret_3_VitesseRotation;Turret_3_Weapon_1_Ammunition;Turret_3_Weapon_1_NbWeapons;Turret_3_Weapon_1_SalvoStockIndex;Turret_4_AngleRotationMax;Turret_4_AngleRotationMaxPitch;Turret_4_AngleRotationMinPitch;Turret_4_VitesseRotation;Turret_4_Weapon_1_Ammunition;Turret_4_Weapon_1_NbWeapons;Turret_4_Weapon_1_SalvoStockIndex;Turret_5_AngleRotationMax;Turret_5_AngleRotationMaxPitch;Turret_5_AngleRotationMinPitch;Turret_5_VitesseRotation;Turret_5_Weapon_1_Ammunition;Turret_5_Weapon_1_NbWeapons;Turret_5_Weapon_1_SalvoStockIndex
"WeaponDescriptor_2K12_KUB_DDR";"[1, -1, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_SAM_9M336_x3";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2K12_KUB_SOV";"[1, -1, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_SAM_9M336_x3";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S1_DDR";"[6, 4, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A18_Howitzer_122mm";1;0;"Ammo_Howz_Canon_2A18_Howitzer_122mm_SMOKE";1;0;"Ammo_Canon_AP_2A18_122mm";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S1_Gvozdika_SOV";"[6, 4, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A18_Howitzer_122mm";1;0;"Ammo_Howz_Canon_2A18_Howitzer_122mm_SMOKE";1;0;"Ammo_Canon_AP_2A18_122mm";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S3M_Akatsiya_SOV";"[6, 5, 15, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_D22_Howitzer_152mm_late";1;0;"Ammo_Howz_Canon_D22_Howitzer_152mm_late_SMOKE";1;0;"Ammo_Canon_AP_D22_152mm";1;1;6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_MMG_PKT_7_62mm";1;2;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S3_DDR";"[6, 5, 15, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_D22_Howitzer_152mm";1;0;"Ammo_Howz_Canon_D22_Howitzer_152mm_late_SMOKE";1;0;"Ammo_Canon_AP_D22_152mm";1;1;6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_MMG_PKT_7_62mm";1;2;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S5_GiatsintS_SOV";"[6, 4, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A18_Howitzer_122mm";1;0;"Ammo_Howz_Canon_2A18_Howitzer_122mm_SMOKE";1;0;"Ammo_Canon_AP_2A18_122mm";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S7M_Malka_SOV";"[8, -1, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A44_Howitzer_203mm_late";1;0;"Ammo_Howz_Canon_2A44_Howitzer_203mm_late_SMOKE";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S9_Nona_SOV";"[5, 7, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A60_Howitzer_120mm";1;0;"Ammo_Howz_Canon_2A60_Howitzer_120mm_SMOKE";1;0;"Ammo_Canon_AP_2A60_120mm";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_81mm_mortar_UK";"[15, -1, -1, -1, -1, -1]";0;"[0, 0, 0, 0, 0, 0, 0]";0.5235987755982988;1.53588974175501;0.08726646259971647;1.0471975511965976;"Ammo_Mortier_81mm_TOWED";1;0;"Ammo_Mortier_81mm_SMOKE_TOWED";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
