WeaponDescriptor;Salves;HasMainSalvo;SalvoIsMainSalvo;Turret_1_AngleRotationMax;Turret_1_AngleRotationMaxPitch;Turret_1_AngleRotationMinPitch;Turret_1_VitesseRotation;Turret_1_Weapon_1_Ammunition;Turret_1_Weapon_1_NbWeapons;Turret_1_Weapon_1_SalvoStockIndex;Turret_1_Weapon_2_Ammunition;Turret_1_Weapon_2_NbWeapons;Turret_1_Weapon_2_SalvoStockIndex;Turret_1_Weapon_3_Ammunition;Turret_1_Weapon_3_NbWeapons;Turret_1_Weapon_3_SalvoStockIndex;Turret_2_AngleRotationMax;Turret_2_AngleRotationMaxPitch;Turret_2_AngleRotationMinPitch;Turret_2_VitesseRotation;Turret_2_Weapon_1_Ammunition;Turret_2_Weapon_1_NbWeapons;Turret_2_Weapon_1_SalvoStockIndex;Turret_3_AngleRotationMax;Turret_3_AngleRotationMaxPitch;Turret_3_AngleRotationMinPitch;Turret_3_VitesseRotation;Turret_3_Weapon_1_Ammunition;Turret_3_Weapon_1_NbWeapons;Turret_3_Weapon_1_SalvoStockIndex;Turret_4_AngleRotationMax;Turret_4_AngleRotationMaxPitch;Turret_4_AngleRotationMinPitch;Turret_4_VitesseRotation;Turret_4_Weapon_1_Ammunition;Turret_4_Weapon_1_NbWeapons;Turret_4_Weapon_1_SalvoStockIndex;Turret_5_AngleRotationMax;Turret_5_AngleRotationMaxPitch;Turret_5_AngleRotationMinPitch;Turret_5_VitesseRotation;Turret_5_Weapon_1_Ammunition;Turret_5_Weapon_1_NbWeapons;Turret_5_Weapon_1_SalvoStockIndex
"WeaponDescriptor_2K12_KUB_DDR";"['1', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_SAM_9M336_x3";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2K12_KUB_SOV";"['1', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_SAM_9M336_x3";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S1_DDR";"['6', '4', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A18_Howitzer_122mm";1;0;"Ammo_Howz_Canon_2A18_Howitzer_122mm_SMOKE";1;0;"Ammo_Canon_AP_2A18_122mm";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S1_Gvozdika_SOV";"['6', '4', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_2A18_Howitzer_122mm";1;0;"Ammo_Howz_Canon_2A18_Howitzer_122mm_SMOKE";1;0;"Ammo_Canon_AP_2A18_122mm";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S3M_Akatsiya_SOV";"['10', '5', '15', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_D22_Howitzer_152mm_late";1;0;"Ammo_Howz_Canon_D22_Howitzer_152mm_late_SMOKE";1;0;"Ammo_Canon_AP_D22_152mm";1;1;6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_MMG_PKT_7_62mm";1;2;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_2S3_DDR";"['10', '5', '15', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";0.2617993877991494;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_Howz_Canon_D22_Howitzer_152mm";1;0;"Ammo_Howz_Canon_D22_Howitzer_152mm_late_SMOKE";1;0;"Ammo_Canon_AP_D22_152mm";1;1;6.283185307179586;1.3089969389957472;-0.2617993877991494;2.0943951023931953;"Ammo_MMG_PKT_7_62mm";1;2;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_81mm_mortar_UK";"['15', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0', '0']";6.283185307179586;1.3089969389957472;-0.17453292519943295;1.0471975511965976;"Ammo_HMG_14_5_mm_KPVT";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_ATteam_Fagot_DDR";"['6', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0']";6.283185307179586;0.4363323129985824;-0.17453292519943295;1.0471975511965976;"Ammo_ATGM_9K111_Fagot";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_ATteam_Fagot_FJ_DDR";"['6', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0']";6.283185307179586;0.4363323129985824;-0.17453292519943295;1.0471975511965976;"Ammo_ATGM_9K111_Fagot";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_ATteam_Fagot_SOV";"['6', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0']";6.283185307179586;0.4363323129985824;-0.17453292519943295;1.0471975511965976;"Ammo_ATGM_9K111_Fagot";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_ATteam_ITOW_US";"['6', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0']";6.283185307179586;0.4363323129985824;-0.17453292519943295;1.0471975511965976;"Ammo_ATGM_BGM71C_ITOW";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WeaponDescriptor_ATteam_Konkurs_DDR";"['6', '-1', '-1', '-1', '-1']";0;"['0', '0', '0', '0', '0', '0']";6.283185307179586;0.4363323129985824;-0.17453292519943295;1.0471975511965976;"Ammo_ATGM_9M113_KonkursM";1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
